Product_ID,Product_Name,Category_0_counts,Category_1_counts,Category_2_counts,Category_3_counts,Category_4_counts,Category_5_counts
1,スカパー,286,1786,292,636,928,2072
5,ディアボーテ HIMAWARI,119,2399,206,276,482,2518
6,ジュレーム,181,2145,313,361,674,2326
7,ラックス ルミニーク,192,2170,271,367,638,2362
10,TSUBAKI,272,1916,197,615,812,2188
26,ガーナ,274,838,173,1715,1888,1112
29,キットカット,243,473,150,2134,2284,716
30,ダース,280,901,193,1626,1819,1181
32,リポビタンD,245,1583,240,932,1172,1828
33,オロナミンC,241,1445,248,1066,1314,1686
36,レッドブル,223,1763,324,690,1014,1986
39,クラリチンEX,83,2402,409,106,515,2485
42,マキアージュ ドラマティックパウダリーUV,360,2171,202,267,469,2531
43,ベネフィーク ハイドロジーニアス,341,2381,141,137,278,2722
50,インテグレート リアルフィットリキッド,105,2564,171,160,331,2669
54,ケイト,172,2106,216,506,722,2278
55,タウンワーク,292,1746,305,657,962,2038
58,バイトル,276,1987,289,448,737,2263
66,アロエステ,140,2366,205,289,494,2506
80,Xperia XZ,242,2080,337,341,678,2322
83,iPhone,203,1354,202,1241,1443,1557
97,ドコモの学割,109,2368,316,207,523,2477
113,麦とホップ The gold,192,1995,260,553,813,2187
114,金麦,197,1830,242,731,973,2027
118,アネッサ,145,2215,220,420,640,2360
147,ランチパック,304,848,183,1665,1848,1152
154,伊右衛門,216,764,264,1756,2020,980
155,生茶,229,988,335,1448,1783,1217
157,十六茶,270,1124,269,1337,1606,1394
158,果汁グミ,352,1375,212,1061,1273,1727
164,ファンタ,225,1280,275,1220,1495,1505
181,-196℃,239,1571,283,907,1190,1810
185,ウメッシュ,301,1586,291,822,1113,1887
186,酔わないウメッシュ,274,1855,306,565,871,2129
187,さらりとした梅酒,226,1673,328,773,1101,1899
190,エン転職,277,2203,175,345,520,2480
192,ビズリーチ,222,2239,271,268,539,2461
197,いい部屋ネット,231,2136,296,337,633,2367
