Product_ID,Product_Name,Category_0_percent,Category_1_percent,Category_2_percent,Category_3_percent,Category_4_percent,Category_5_percent
1,スカパー,0.116,0.5276666666666666,0.08566666666666667,0.27066666666666667,0.35633333333333334,0.6436666666666667
5,ディアボーテ HIMAWARI,0.021666666666666667,0.9286666666666666,0.030666666666666665,0.019,0.049666666666666665,0.9503333333333334
6,ジュレーム,0.04733333333333333,0.8506666666666667,0.067,0.035,0.102,0.898
7,ラックス ルミニーク,0.04766666666666667,0.849,0.072,0.03133333333333333,0.10333333333333333,0.8966666666666666
10,TSUBAKI,0.06833333333333333,0.8523333333333334,0.042,0.037333333333333336,0.07933333333333334,0.9206666666666666
26,ガーナ,0.09266666666666666,0.6906666666666667,0.072,0.14466666666666667,0.21666666666666667,0.7833333333333333
29,キットカット,0.11,0.633,0.069,0.188,0.257,0.743
30,ダース,0.09,0.7563333333333333,0.058,0.09566666666666666,0.15366666666666667,0.8463333333333334
32,リポビタンD,0.08333333333333333,0.732,0.07066666666666667,0.114,0.18466666666666667,0.8153333333333334
33,オロナミンC,0.08533333333333333,0.7343333333333333,0.07366666666666667,0.10666666666666667,0.18033333333333335,0.8196666666666667
36,レッドブル,0.056666666666666664,0.7513333333333333,0.10866666666666666,0.08333333333333333,0.192,0.808
39,クラリチンEX,0.016666666666666666,0.8593333333333333,0.11133333333333334,0.012666666666666666,0.124,0.876
42,マキアージュ ドラマティックパウダリーUV,0.105,0.832,0.042,0.021,0.063,0.937
43,ベネフィーク ハイドロジーニアス,0.108,0.855,0.024,0.013,0.037,0.963
50,インテグレート リアルフィットリキッド,0.019333333333333334,0.9236666666666666,0.03866666666666667,0.018333333333333333,0.057,0.943
54,ケイト,0.05733333333333333,0.703,0.06866666666666667,0.171,0.23966666666666667,0.7603333333333333
55,タウンワーク,0.035666666666666666,0.869,0.08166666666666667,0.013666666666666667,0.09533333333333334,0.9046666666666666
58,バイトル,0.035,0.873,0.08133333333333333,0.010666666666666666,0.092,0.908
66,アロエステ,0.015,0.949,0.022,0.014,0.036,0.964
80,Xperia XZ,0.04833333333333333,0.8376666666666667,0.087,0.027,0.114,0.886
83,iPhone,0.04133333333333333,0.552,0.05366666666666667,0.353,0.4066666666666667,0.5933333333333334
97,ドコモの学割,0.023,0.858,0.09066666666666667,0.028333333333333332,0.119,0.881
113,麦とホップ The gold,0.054,0.777,0.07666666666666666,0.09233333333333334,0.169,0.831
114,金麦,0.06266666666666666,0.725,0.07666666666666666,0.13566666666666666,0.21233333333333335,0.7876666666666666
118,アネッサ,0.016666666666666666,0.925,0.045,0.013333333333333334,0.058333333333333334,0.9416666666666667
147,ランチパック,0.11233333333333333,0.6073333333333333,0.07933333333333334,0.201,0.2803333333333333,0.7196666666666667
154,伊右衛門,0.08333333333333333,0.49833333333333335,0.12233333333333334,0.296,0.41833333333333333,0.5816666666666667
155,生茶,0.09133333333333334,0.547,0.115,0.24666666666666667,0.3616666666666667,0.6383333333333333
157,十六茶,0.107,0.5856666666666667,0.10633333333333334,0.201,0.30733333333333335,0.6926666666666667
158,果汁グミ,0.104,0.7123333333333334,0.074,0.10966666666666666,0.18366666666666667,0.8163333333333334
164,ファンタ,0.059333333333333335,0.7063333333333334,0.09633333333333334,0.138,0.23433333333333334,0.7656666666666667
181,-196℃,0.077,0.6926666666666667,0.09166666666666666,0.13866666666666666,0.23033333333333333,0.7696666666666667
185,ウメッシュ,0.06766666666666667,0.7753333333333333,0.08733333333333333,0.06966666666666667,0.157,0.843
186,酔わないウメッシュ,0.063,0.7996666666666666,0.08466666666666667,0.05266666666666667,0.13733333333333334,0.8626666666666667
187,さらりとした梅酒,0.06366666666666666,0.7973333333333333,0.084,0.055,0.139,0.861
190,エン転職,0.071,0.8363333333333334,0.034666666666666665,0.058,0.09266666666666666,0.9073333333333333
192,ビズリーチ,0.05366666666666667,0.8306666666666667,0.07133333333333333,0.044333333333333336,0.11566666666666667,0.8843333333333333
197,いい部屋ネット,0.044,0.8426666666666667,0.072,0.04133333333333333,0.11333333333333333,0.8866666666666667
