Product_ID,Product_Name,Category_0_counts,Category_1_counts,Category_2_counts,Category_3_counts,Category_4_counts,Category_5_counts
1,スカパー,348,1583,257,812,1069,1931
5,ディアボーテ HIMAWARI,65,2786,92,57,149,2851
6,ジュレーム,142,2552,201,105,306,2694
7,ラックス ルミニーク,143,2547,216,94,310,2690
10,TSUBAKI,205,2557,126,112,238,2762
26,ガーナ,278,2072,216,434,650,2350
29,キットカット,330,1899,207,564,771,2229
30,ダース,270,2269,174,287,461,2539
32,リポビタンD,250,2196,212,342,554,2446
33,オロナミンC,256,2203,221,320,541,2459
36,レッドブル,170,2254,326,250,576,2424
39,クラリチンEX,50,2578,334,38,372,2628
42,マキアージュ ドラマティックパウダリーUV,315,2496,126,63,189,2811
43,ベネフィーク ハイドロジーニアス,324,2565,72,39,111,2889
50,インテグレート リアルフィットリキッド,58,2771,116,55,171,2829
54,ケイト,172,2109,206,513,719,2281
55,タウンワーク,107,2607,245,41,286,2714
58,バイトル,105,2619,244,32,276,2724
66,アロエステ,45,2847,66,42,108,2892
80,Xperia XZ,145,2513,261,81,342,2658
83,iPhone,124,1656,161,1059,1220,1780
97,ドコモの学割,69,2574,272,85,357,2643
113,麦とホップ The gold,162,2331,230,277,507,2493
114,金麦,188,2175,230,407,637,2363
118,アネッサ,50,2775,135,40,175,2825
147,ランチパック,337,1822,238,603,841,2159
154,伊右衛門,250,1495,367,888,1255,1745
155,生茶,274,1641,345,740,1085,1915
157,十六茶,321,1757,319,603,922,2078
158,果汁グミ,312,2137,222,329,551,2449
164,ファンタ,178,2119,289,414,703,2297
181,-196℃,231,2078,275,416,691,2309
185,ウメッシュ,203,2326,262,209,471,2529
186,酔わないウメッシュ,189,2399,254,158,412,2588
187,さらりとした梅酒,191,2392,252,165,417,2583
197,いい部屋ネット,132,2528,216,124,340,2660
